Company,ticker,yf_ticker
Jubilant Foodworks Limited,JUBLFOOD,JUBLFOOD.NS
KEI Industries Limited,KEI,KEI.NS
KPIT Technologies Limited,KPITTECH,KPITTECH.NS
Kalyan Jewellers India Limited,KALYANKJIL,KALYANKJIL.NS
Kaynes Technology India Limited,KAYNES,KAYNES.NS
Kfin Technologies Limited,KFINTECH,KFINTECH.NS
Kotak Mahindra Bank Limited,KOTAKBANK,KOTAKBANK.NS
L&T Finance Limited,LTF,LTF.NS
LIC Housing Finance Limited,LICHSGFIN,LICHSGFIN.NS
LTM Limited,LTM,LTM.NS
Larsen & Toubro Limited,LT,LT.NS
Laurus Labs Limited,LAURUSLABS,LAURUSLABS.NS
Life Insurance Corporation Of India,LICI,LICI.NS
Lodha Developers Limited,LODHA,LODHA.NS
Lupin Limited,LUPIN,LUPIN.NS
Mahindra & Mahindra Limited,M&M,M&M.NS
Manappuram Finance Limited,MANAPPURAM,MANAPPURAM.NS
Mankind Pharma Limited,MANKIND,MANKIND.NS
Marico Limited,MARICO,MARICO.NS
Maruti Suzuki India Limited,MARUTI,MARUTI.NS
Max Financial Services Limited,MFSL,MFSL.NS
Max Healthcare Institute Limited,MAXHEALTH,MAXHEALTH.NS
Mazagon Dock Shipbuilders Limited,MAZDOCK,MAZDOCK.NS
Motilal Oswal Financial Services Limited,MOTILALOFS,MOTILALOFS.NS
MphasiS Limited,MPHASIS,MPHASIS.NS
Multi Commodity Exchange of India Limited,MCX,MCX.NS
Muthoot Finance Limited,MUTHOOTFIN,MUTHOOTFIN.NS
NBCC (India) Limited,NBCC,NBCC.NS
NHPC Limited,NHPC,NHPC.NS
NMDC Limited,NMDC,NMDC.NS
NTPC Limited,NTPC,NTPC.NS
National Aluminium Company Limited,NATIONALUM,NATIONALUM.NS
Nestle India Limited,NESTLEIND,NESTLEIND.NS
Nippon Life India Asset Management Limited,NAM-INDIA,NAM-INDIA.NS
Nuvama Wealth Management Limited,NUVAMA,NUVAMA.NS
Oberoi Realty Limited,OBEROIRLTY,OBEROIRLTY.NS
Oil & Natural Gas Corporation Limited,ONGC,ONGC.NS
Oil India Limited,OIL,OIL.NS
One 97 Communications Limited,PAYTM,PAYTM.NS
Oracle Financial Services Software Limited,OFSS,OFSS.NS
PB Fintech Limited,POLICYBZR,POLICYBZR.NS
PG Electroplast Limited,PGEL,PGEL.NS
PI Industries Limited,PIIND,PIIND.NS
PNB Housing Finance Limited,PNBHOUSING,PNBHOUSING.NS
Page Industries Limited,PAGEIND,PAGEIND.NS
Patanjali Foods Limited,PATANJALI,PATANJALI.NS
Persistent Systems Limited,PERSISTENT,PERSISTENT.NS
Petronet LNG Limited,PETRONET,PETRONET.NS
Pidilite Industries Limited,PIDILITIND,PIDILITIND.NS
Polycab India Limited,POLYCAB,POLYCAB.NS
Power Finance Corporation Limited,PFC,PFC.NS
Power Grid Corporation of India Limited,POWERGRID,POWERGRID.NS
Premier Energies Limited,PREMIERENE,PREMIERENE.NS
Prestige Estates Projects Limited,PRESTIGE,PRESTIGE.NS
Punjab National Bank,PNB,PNB.NS
RBL Bank Limited,RBLBANK,RBLBANK.NS
REC Limited,RECLTD,RECLTD.NS
Radico Khaitan Limited,RADICO,RADICO.NS
Rail Vikas Nigam Limited,RVNL,RVNL.NS
Reliance Industries Limited,RELIANCE,RELIANCE.NS
SBI Cards and Payment Services Limited,SBICARD,SBICARD.NS
SBI Life Insurance Company Limited,SBILIFE,SBILIFE.NS
SHREE CEMENT LIMITED,SHREECEM,SHREECEM.NS
SRF Limited,SRF,SRF.NS
Sammaan Capital Limited,SAMMAANCAP,SAMMAANCAP.NS
Samvardhana Motherson International Limited,MOTHERSON,MOTHERSON.NS
Shriram Finance Limited,SHRIRAMFIN,SHRIRAMFIN.NS
Siemens Limited,SIEMENS,SIEMENS.NS
Solar Industries India Limited,SOLARINDS,SOLARINDS.NS
Sona BLW Precision Forgings Limited,SONACOMS,SONACOMS.NS
State Bank of India,SBIN,SBIN.NS
Steel Authority of India Limited,SAIL,SAIL.NS
Sun Pharmaceutical Industries Limited,SUNPHARMA,SUNPHARMA.NS
Supreme Industries Limited,SUPREMEIND,SUPREMEIND.NS
Suzlon Energy Limited,SUZLON,SUZLON.NS
Swiggy Limited,SWIGGY,SWIGGY.NS
TATA CONSUMER PRODUCTS LIMITED,TATACONSUM,TATACONSUM.NS
TVS Motor Company Limited,TVSMOTOR,TVSMOTOR.NS
Tata Consultancy Services Limited,TCS,TCS.NS
Tata Elxsi Limited,TATAELXSI,TATAELXSI.NS
Tata Motors Passenger Vehicles Limited,TMPV,TMPV.NS
Tata Power Company Limited,TATAPOWER,TATAPOWER.NS
Tata Steel Limited,TATASTEEL,TATASTEEL.NS
Tech Mahindra Limited,TECHM,TECHM.NS
The Federal Bank Limited,FEDERALBNK,FEDERALBNK.NS
The Indian Hotels Company Limited,INDHOTEL,INDHOTEL.NS
The Phoenix Mills Limited,PHOENIXLTD,PHOENIXLTD.NS
Titan Company Limited,TITAN,TITAN.NS
Torrent Pharmaceuticals Limited,TORNTPHARM,TORNTPHARM.NS
Trent Limited,TRENT,TRENT.NS
Tube Investments of India Limited,TIINDIA,TIINDIA.NS
UNO Minda Limited,UNOMINDA,UNOMINDA.NS
UPL Limited,UPL,UPL.NS
UltraTech Cement Limited,ULTRACEMCO,ULTRACEMCO.NS
Union Bank of India,UNIONBANK,UNIONBANK.NS
United Spirits Limited,UNITDSPR,UNITDSPR.NS
Varun Beverages Limited,VBL,VBL.NS
Vedanta Limited,VEDL,VEDL.NS
Vishal Mega Mart Limited,VMM,VMM.NS
Vodafone Idea Limited,IDEA,IDEA.NS
Voltas Limited,VOLTAS,VOLTAS.NS
Waaree Energies Limited,WAAREEENER,WAAREEENER.NS
Wipro Limited,WIPRO,WIPRO.NS
Yes Bank Limited,YESBANK,YESBANK.NS
Zydus Lifesciences Limited,ZYDUSLIFE,ZYDUSLIFE.NS
