Unnamed: 0,Symbol,Company Name,Sector,Country,yf_ticker
211,HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,IND,HINDPETRO.NS
212,HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,IND,HINDUNILVR.NS
213,HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,IND,HINDZINC.NS
214,POWERINDIA,Hitachi Energy India Ltd.,Capital Goods,IND,POWERINDIA.NS
215,HOMEFIRST,Home First Finance Company India Ltd.,Financial Services,IND,HOMEFIRST.NS
216,HONASA,Honasa Consumer Ltd.,Fast Moving Consumer Goods,IND,HONASA.NS
217,HONAUT,Honeywell Automation India Ltd.,Capital Goods,IND,HONAUT.NS
218,HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services,IND,HUDCO.NS
219,HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components,IND,HYUNDAI.NS
220,ICICIBANK,ICICI Bank Ltd.,Financial Services,IND,ICICIBANK.NS
221,ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services,IND,ICICIGI.NS
222,ICICIAMC,ICICI Prudential Asset Management Company Ltd.,Financial Services,IND,ICICIAMC.NS
223,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Financial Services,IND,ICICIPRULI.NS
224,IDBI,IDBI Bank Ltd.,Financial Services,IND,IDBI.NS
225,IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services,IND,IDFCFIRSTB.NS
226,IFCI,IFCI Ltd.,Financial Services,IND,IFCI.NS
227,IIFL,IIFL Finance Ltd.,Financial Services,IND,IIFL.NS
228,IRB,IRB Infrastructure Developers Ltd.,Construction,IND,IRB.NS
229,IRCON,IRCON International Ltd.,Construction,IND,IRCON.NS
230,ITCHOTELS,ITC Hotels Ltd.,Consumer Services,IND,ITCHOTELS.NS
231,ITC,ITC Ltd.,Fast Moving Consumer Goods,IND,ITC.NS
232,ITI,ITI Ltd.,Telecommunication,IND,ITI.NS
233,INDGN,Indegene Ltd.,Healthcare,IND,INDGN.NS
234,INDIACEM,India Cements Ltd.,Construction Materials,IND,INDIACEM.NS
235,INDIAMART,Indiamart Intermesh Ltd.,Consumer Services,IND,INDIAMART.NS
236,INDIANB,Indian Bank,Financial Services,IND,INDIANB.NS
237,IEX,Indian Energy Exchange Ltd.,Financial Services,IND,IEX.NS
238,INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services,IND,INDHOTEL.NS
239,IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IND,IOC.NS
240,IOB,Indian Overseas Bank,Financial Services,IND,IOB.NS
241,IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IND,IRCTC.NS
242,IRFC,Indian Railway Finance Corporation Ltd.,Financial Services,IND,IRFC.NS
243,IREDA,Indian Renewable Energy Development Agency Ltd.,Financial Services,IND,IREDA.NS
244,IGL,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IND,IGL.NS
245,INDUSTOWER,Indus Towers Ltd.,Telecommunication,IND,INDUSTOWER.NS
246,INDUSINDBK,IndusInd Bank Ltd.,Financial Services,IND,INDUSINDBK.NS
247,NAUKRI,Info Edge (India) Ltd.,Consumer Services,IND,NAUKRI.NS
248,INFY,Infosys Ltd.,Information Technology,IND,INFY.NS
249,INOXWIND,Inox Wind Ltd.,Capital Goods,IND,INOXWIND.NS
250,INTELLECT,Intellect Design Arena Ltd.,Information Technology,IND,INTELLECT.NS
251,INDIGO,InterGlobe Aviation Ltd.,Services,IND,INDIGO.NS
252,IGIL,International Gemological Institute Ltd.,Services,IND,IGIL.NS
253,IKS,Inventurus Knowledge Solutions Ltd.,Information Technology,IND,IKS.NS
254,IPCALAB,Ipca Laboratories Ltd.,Healthcare,IND,IPCALAB.NS
255,JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,IND,JBCHEPHARM.NS
256,JKCEMENT,J.K. Cement Ltd.,Construction Materials,IND,JKCEMENT.NS
257,JBMA,JBM Auto Ltd.,Automobile and Auto Components,IND,JBMA.NS
258,JKTYRE,JK Tyre & Industries Ltd.,Automobile and Auto Components,IND,JKTYRE.NS
259,JMFINANCIL,JM Financial Ltd.,Financial Services,IND,JMFINANCIL.NS
260,JSWCEMENT,JSW Cement Ltd.,Construction Materials,IND,JSWCEMENT.NS
261,JSWDULUX,JSW Dulux Ltd.,Consumer Durables,IND,JSWDULUX.NS
262,JSWENERGY,JSW Energy Ltd.,Power,IND,JSWENERGY.NS
263,JSWINFRA,JSW Infrastructure Ltd.,Services,IND,JSWINFRA.NS
264,JSWSTEEL,JSW Steel Ltd.,Metals & Mining,IND,JSWSTEEL.NS
265,JAINREC,Jain Resource Recycling Ltd.,Metals & Mining,IND,JAINREC.NS
266,JPPOWER,Jaiprakash Power Ventures Ltd.,Power,IND,JPPOWER.NS
267,J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,IND,J&KBANK.NS
268,JINDALSAW,Jindal Saw Ltd.,Capital Goods,IND,JINDALSAW.NS
269,JSL,Jindal Stainless Ltd.,Metals & Mining,IND,JSL.NS
270,JINDALSTEL,Jindal Steel Ltd.,Metals & Mining,IND,JINDALSTEL.NS
271,JIOFIN,Jio Financial Services Ltd.,Financial Services,IND,JIOFIN.NS
272,JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services,IND,JUBLFOOD.NS
273,JUBLINGREA,Jubilant Ingrevia Ltd.,Chemicals,IND,JUBLINGREA.NS
274,JUBLPHARMA,Jubilant Pharmova Ltd.,Healthcare,IND,JUBLPHARMA.NS
275,JWL,Jupiter Wagons Ltd.,Capital Goods,IND,JWL.NS
276,JYOTICNC,Jyoti CNC Automation Ltd.,Capital Goods,IND,JYOTICNC.NS
277,KPRMILL,K.P.R. Mill Ltd.,Textiles,IND,KPRMILL.NS
278,KEI,KEI Industries Ltd.,Capital Goods,IND,KEI.NS
279,KPITTECH,KPIT Technologies Ltd.,Information Technology,IND,KPITTECH.NS
280,KAJARIACER,Kajaria Ceramics Ltd.,Consumer Durables,IND,KAJARIACER.NS
281,KPIL,Kalpataru Projects International Ltd.,Construction,IND,KPIL.NS
282,KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables,IND,KALYANKJIL.NS
283,KARURVYSYA,Karur Vysya Bank Ltd.,Financial Services,IND,KARURVYSYA.NS
284,KAYNES,Kaynes Technology India Ltd.,Capital Goods,IND,KAYNES.NS
285,KEC,Kec International Ltd.,Construction,IND,KEC.NS
286,KFINTECH,Kfin Technologies Ltd.,Financial Services,IND,KFINTECH.NS
287,KIRLOSENG,Kirloskar Oil Eng Ltd.,Capital Goods,IND,KIRLOSENG.NS
288,KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,IND,KOTAKBANK.NS
289,KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare,IND,KIMS.NS
290,LTF,L&T Finance Ltd.,Financial Services,IND,LTF.NS
291,LTTS,L&T Technology Services Ltd.,Information Technology,IND,LTTS.NS
292,LGEINDIA,LG Electronics India Ltd.,Consumer Durables,IND,LGEINDIA.NS
293,LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,IND,LICHSGFIN.NS
294,LTFOODS,LT Foods Ltd.,Fast Moving Consumer Goods,IND,LTFOODS.NS
295,LTM,LTM Ltd.,Information Technology,IND,LTM.NS
296,LT,Larsen & Toubro Ltd.,Construction,IND,LT.NS
297,LATENTVIEW,Latent View Analytics Ltd.,Information Technology,IND,LATENTVIEW.NS
298,LAURUSLABS,Laurus Labs Ltd.,Healthcare,IND,LAURUSLABS.NS
299,THELEELA,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,IND,THELEELA.NS
300,LEMONTREE,Lemon Tree Hotels Ltd.,Consumer Services,IND,LEMONTREE.NS
301,LENSKART,Lenskart Solutions Ltd.,Consumer Services,IND,LENSKART.NS
302,LICI,Life Insurance Corporation of India,Financial Services,IND,LICI.NS
303,LINDEINDIA,Linde India Ltd.,Chemicals,IND,LINDEINDIA.NS
304,LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining,IND,LLOYDSME.NS
305,LODHA,Lodha Developers Ltd.,Realty,IND,LODHA.NS
306,LUPIN,Lupin Ltd.,Healthcare,IND,LUPIN.NS
307,MMTC,MMTC Ltd.,Services,IND,MMTC.NS
308,MRF,MRF Ltd.,Automobile and Auto Components,IND,MRF.NS
309,MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,IND,MGL.NS
